metric,architecture,seed,run_label,source_file,n_points,mean,sample_std,n_ge_outlier_sigma,n_ge_3std,n_ge_5std,n_ge_10std,worst_source_index,worst_error,worst_sigma
abs_energy_error,L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,80000,0.1997303498080699,0.2806366299242564,3030,1469,460,54,7522891,10.994155883789062,38.46406485459293
abs_energy_error,L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,80000,0.20599446008317174,0.2949561794406318,2823,1343,435,57,7140304,19.704620361328125,66.10685674808721
abs_energy_error,L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,80000,0.20470212453629938,0.30088395537312074,2775,1275,413,57,3937730,28.87258529663086,95.2788696776604
abs_energy_error,L3N4,42,L3N4 s42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,80000,0.265648224465159,10.080732926707148,1,1,1,1,3937730,2850.048095703125,282.695957545771
abs_energy_error,L3N4,101,L3N4 s101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,80000,0.19947978295959182,0.28335871310257266,2973,1427,456,65,7237219,9.82049560546875,33.9534850266858
abs_energy_error,L3N4,202,L3N4 s202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,80000,0.23565154646359734,1.184069195510051,133,41,5,1,4707565,323.4248046875,272.9478601137149
abs_energy_error,L3N5,0,L3N5 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,80000,0.27910872991609503,0.36418024682675726,2844,1391,427,51,7306805,22.873519897460938,62.04183605348903
abs_energy_error,L3N5,1,L3N5 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,80000,0.20622627334078425,0.2853231740266558,3054,1475,468,60,3838582,9.35308837890625,32.05790113883612
abs_energy_error,L3N5,2,L3N5 s2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,80000,0.2711846569232875,0.3596966094728214,2968,1403,369,55,3937730,16.674484252929688,45.60315322417802
abs_energy_error,L3N5,3,L3N5 s3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,80000,0.21322648383491905,2.6399977202385,10,3,1,1,3937730,742.6024780273438,281.2082926633894
