run_label,architecture,seed,source_file,metric_column,n_csv_rows,n_usable_raw,n_retained,n_removed,removed_fraction,raw_mean,raw_sample_std,raw_median,raw_q1,raw_q3,raw_min,raw_max,retained_mean,retained_sample_std,retained_median,retained_q1,retained_q3,retained_min,retained_max
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,80000,80000,78751,1249,0.0156125,0.7487737191471382,1.062059810771518,0.4422602070916756,0.25246691535089133,0.8444141193051773,0.0378955904261295,66.2939031846871,0.6592810727269047,0.6331905866448171,0.4346587755642204,0.25012196250546626,0.8134412973238174,0.0378955904261295,3.934755688225215
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,force_rmse,80000,80000,79867,133,0.0016625,0.7759377503699537,2.727832319847768,0.46174658313555883,0.26232155328294793,0.875146267033887,0.0420481739969394,687.9956930235953,0.7437517685276391,0.8566478898178601,0.4607373195815778,0.26202954478010865,0.8711327464967918,0.0420481739969394,8.953651650368752
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,force_rmse,80000,80000,79583,417,0.0052125,0.7593240561979255,1.803635935018513,0.44809821629281166,0.2579670233283039,0.849870530138641,0.0345879178321444,414.7748789531857,0.7082078554758695,0.7642787067015623,0.4455836325524114,0.25712710683612555,0.8394896618154416,0.0345879178321444,6.170219930819047
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_rmse,80000,80000,79999,1,1.25e-05,3.06855626350397,635.9190477885116,0.5007594347687033,0.2870342827402083,0.9358561718373005,0.0307451595072493,179865.61295243155,0.8202463546780085,1.1134027767893286,0.5007513972325102,0.2870267923643183,0.9358172245499023,0.0307451595072493,64.70408779533552
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_rmse,80000,80000,79076,924,0.01155,0.7459622809873312,1.2523542465365345,0.44426538204130056,0.25398523239096654,0.8398174715399348,0.0301829000412802,201.27902566320157,0.6708029020045911,0.6659608146365744,0.43812308641755626,0.2520310232120408,0.8180684345375795,0.0301829000412802,4.502029042219827
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_rmse,80000,80000,79989,11,0.0001375,0.8431210359313008,7.652568671926223,0.4947098512358462,0.2892351624970767,0.9278181694668655,0.0373099997378032,2142.209005199933,0.8119788001840766,1.0350478088531203,0.4945818905445237,0.2892244401203525,0.9275737188156212,0.0373099997378032,23.741604394805897
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_rmse,80000,80000,78801,1199,0.0149875,0.9302972736635371,1.2755249187294415,0.5771007730603925,0.34369264898106605,1.0589015784053064,0.0537600370197156,95.44022227315418,0.8283466433780389,0.7500209007560761,0.5681476874576162,0.3410122603432645,1.025535926721602,0.0537600370197156,4.755562637848176
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_rmse,80000,80000,78576,1424,0.0178,0.77667101360709,1.0342250207399561,0.4666982153464704,0.26958467000956987,0.8824576987659734,0.0403030294232967,57.83772347096794,0.6812196277270774,0.6344805217265815,0.45790775250078747,0.2667016826754618,0.8460948691342236,0.0403030294232967,3.878559576025528
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_rmse,80000,80000,79587,413,0.0051625,0.8995919849183872,2.005835693119988,0.5550340407042336,0.33036899730109653,1.0205430249241796,0.0516063748611255,411.6749673806163,0.842815789855043,0.8545313376538666,0.5521264813131862,0.3294989582108777,1.0083924015456107,0.0516063748611255,6.91597083412614
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_rmse,80000,80000,79997,3,3.75e-05,1.3426306001985093,150.97216563344338,0.45905638042901115,0.2643446409352009,0.8743112911740627,0.0310329936552001,42601.954277033605,0.7670165930775386,1.0639600144500236,0.4590272902228557,0.264338296172399,0.8742526233093333,0.0310329936552001,67.70451028577111
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,force_rmse,80000,80000,78813,1187,0.0148375,0.767989277423989,1.1236320753312905,0.4576406961231181,0.26172438054193364,0.868740659891615,0.0257475304670313,77.08779415843115,0.6788861483206419,0.6526103088782038,0.4498924596694692,0.2594197809984742,0.8389713888659045,0.0257475304670313,4.135288105713415
L3N5 seed 7,L3N5,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,force_rmse,80000,80000,79836,164,0.00205,0.8156407186690648,2.715445565417085,0.4845574394936819,0.2779150420772436,0.9160634799268684,0.0346462300039816,702.0980929625365,0.7811298977444007,0.8959177311907685,0.48330915008006703,0.2776209565893501,0.9119287791671987,0.0346462300039816,8.944543312795856
