run_label,architecture,seed,source_file,metric_column,std_threshold,iteration,n_before,mean,sample_std,threshold,n_removed
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,1,80000,0.582884143878776,0.8055986490160479,2.99968009092692,1292
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,2,78708,0.5135168752203657,0.4851320018015587,1.9689128806250418,2046
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,3,76662,0.46391783818401683,0.38044785726091773,1.60526140996677,1671
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,4,74991,0.43473104167888404,0.32960204615903094,1.4235371801559769,1274
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,5,73717,0.41612010114074377,0.3001361289994151,1.3165284881389892,900
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,6,72817,0.40433489993823385,0.28250103307894736,1.2518379991750759,609
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,7,72208,0.3969188890838996,0.271847363755574,1.2124609803506217,437
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,8,71771,0.39183994308759795,0.26474098035423577,1.1860628841503051,300
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,9,71471,0.3884520284395918,0.2600686937685909,1.1686581097453645,223
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,3.0,10,71248,0.3859822747825088,0.2566951160059803,1.1560676228004496,150
