run_label,architecture,seed,source_file,metric_column,n_csv_rows,n_usable_raw,n_retained,n_removed,removed_fraction,raw_mean,raw_sample_std,raw_median,raw_q1,raw_q3,raw_min,raw_max,retained_mean,retained_sample_std,retained_median,retained_q1,retained_q3,retained_min,retained_max
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,80000,80000,72160,7840,0.098,0.1997303498080699,0.2806366299242564,0.11516928672790519,0.049985885620117174,0.2416131496429443,0.0,10.994155883789062,0.13131846248091167,0.1097899041623123,0.1000561714172363,0.0445022583007812,0.19077205657958982,0.0,0.462921142578125
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,80000,80000,72271,7729,0.0966125,0.20599446008317174,0.2949561794406318,0.1191558837890625,0.0518379211425781,0.2498087882995605,0.0,19.704620361328125,0.13652894795505893,0.1140977935632996,0.1036815643310546,0.0464147329330444,0.1986541748046875,0.0,0.480926513671875
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,80000,80000,72164,7836,0.09795,0.20470212453629938,0.30088395537312074,0.11953321099281305,0.0521697998046875,0.24705219268798823,0.0,28.87258529663086,0.13483321168444337,0.11127905121136233,0.10406732559204096,0.0465240478515625,0.19604110717773432,0.0,0.47064208984375
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,80000,80000,72637,7363,0.0920375,0.265648224465159,10.080732926707148,0.1355524063110351,0.05945909023284905,0.2793111801147461,0.0,2850.048095703125,0.15548703799355842,0.12908988505195562,0.1189155578613281,0.0538330078125,0.2260818481445312,0.0,0.5463733673095703
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,80000,80000,72251,7749,0.0968625,0.19947978295959182,0.28335871310257266,0.11422920227050776,0.0492773056030273,0.2412331104278564,5.960464477539063e-06,9.82049560546875,0.1312510722175242,0.11051852282197439,0.0993824005126953,0.0441818237304687,0.19109630584716797,5.960464477539063e-06,0.4643974304199219
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,80000,80000,72475,7525,0.0940625,0.23565154646359734,1.184069195510051,0.1379945278167724,0.0610303878784179,0.2813048362731933,7.62939453125e-06,323.4248046875,0.15634991537525778,0.12832398000721276,0.1213188171386718,0.0551385879516601,0.2264289855957031,7.62939453125e-06,0.5448799133300781
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,80000,80000,73553,6447,0.0805875,0.27910872991609503,0.36418024682675726,0.179387092590332,0.0802456736564636,0.3464288711547851,9.5367431640625e-07,22.873519897460938,0.2012994465603885,0.1605074967489103,0.1608428955078125,0.073211669921875,0.2918701171875,9.5367431640625e-07,0.6836433410644531
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,80000,80000,72103,7897,0.0987125,0.20622627334078425,0.2853231740266558,0.11926513910293575,0.0516014099121093,0.249312400817871,0.0,9.35308837890625,0.13574987976577998,0.1135052291279849,0.1033706665039062,0.04600891470909115,0.19748783111572266,0.0,0.4788665771484375
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,abs_energy_error,80000,80000,73022,6978,0.087225,0.2711846569232875,0.3596966094728214,0.16807222366333005,0.0745697021484375,0.33331358432769775,0.0,16.674484252929688,0.19020563821298087,0.15454590653243228,0.1492619514465332,0.0677070617675781,0.2748899459838867,0.0,0.6557044982910156
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,abs_energy_error,80000,80000,72397,7603,0.0950375,0.21322648383491905,2.6399977202385,0.11860346794128415,0.05120491981506339,0.24819565936923021,0.0,742.6024780273438,0.13608976452607488,0.11380364391853012,0.1037406921386718,0.0459208488464355,0.1982145309448242,0.0,0.4804248809814453
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,abs_energy_error,80000,80000,72248,7752,0.0969,0.2038352158157795,0.2931835987286264,0.11694240570068355,0.050190925598144503,0.24564695358276362,3.814697265625e-06,9.99810791015625,0.13413402544369052,0.11287184072817794,0.10169029235839841,0.0449399948120117,0.19483673572540278,3.814697265625e-06,0.4750165939331054
L3N5 seed 7,L3N5,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,abs_energy_error,80000,80000,72330,7670,0.095875,0.21562233584981877,0.4545444467777628,0.1237030029296875,0.053504467010498005,0.2592897415161132,0.0,96.79352569580078,0.14182922193240005,0.11897267942584908,0.1076130867004394,0.0481355190277099,0.2055540084838867,0.0,0.5011444091796875
L3N5 seed 42,L3N5,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,abs_energy_error,80000,80000,72471,7529,0.0941125,0.2081716774016153,0.28944413527122254,0.1208572387695312,0.051908493041992174,0.2531356811523437,3.814697265625e-06,8.52740478515625,0.1389576164626898,0.11694966824269926,0.104736328125,0.0464658737182617,0.2025690078735351,3.814697265625e-06,0.492095947265625
L3N5 seed 1776,L3N5,1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,abs_energy_error,80000,80000,72275,7725,0.0965625,0.21555212002652696,0.3658846474755826,0.12490463256835935,0.0539007186889648,0.2605409622192383,1.430511474609375e-06,43.38862609863281,0.1426340569994908,0.11923493379312831,0.1089382171630859,0.048481941223144503,0.20766925811767575,1.430511474609375e-06,0.503089427947998
L4N3 seed 7,L4N3,7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,abs_energy_error,80000,80000,72104,7896,0.0987,0.20703997271741972,0.2962906576587127,0.1179370880126953,0.050874352455139146,0.2487411499023437,0.0,14.275634765625,0.1349830352338167,0.1134521128896439,0.1021814346313476,0.045562744140625,0.19646435976028437,0.0,0.47735595703125
L4N3 seed 42,L4N3,42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,abs_energy_error,80000,80000,72464,7536,0.0942,0.21443938535493218,0.29780571820573154,0.12342643737792966,0.0535693168640136,0.2600572109222412,0.0,8.33160400390625,0.14271059431564584,0.12006161269548524,0.10767745971679685,0.0482740402221679,0.2076578140258789,0.0,0.5047836303710938
L4N3 seed 101,L4N3,101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,abs_energy_error,80000,80000,72405,7595,0.0949375,0.2188547617257631,0.3064262554889219,0.12553024291992185,0.0542421340942382,0.2660799026489258,0.0,9.247272491455078,0.1453433763306102,0.12270311422504596,0.1095962524414062,0.048828125,0.2112770080566406,0.0,0.5151405334472656
L4N3 seed 202,L4N3,202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,abs_energy_error,80000,80000,72339,7661,0.0957625,0.21289867895157077,0.36873983530476245,0.122528076171875,0.0520248413085937,0.2572236061096191,3.814697265625e-06,62.61231994628906,0.14055818497281194,0.11877113347330796,0.1063494682312011,0.04664468765258785,0.2050018310546875,3.814697265625e-06,0.4993515014648437
L4N3 seed 303,L4N3,303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,abs_energy_error,80000,80000,72199,7801,0.0975125,0.21497051230372163,0.30262715640676385,0.12514305114746088,0.0544800758361816,0.25936448574066157,0.0,9.54962158203125,0.14189974203882302,0.11805434590288348,0.1088104248046875,0.04876708984375,0.20651054382324213,0.0,0.498291015625
L4N3 seed 1776,L4N3,1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,abs_energy_error,80000,80000,72194,7806,0.097575,0.20889746330198833,0.2988562265460486,0.12017822265625,0.05206298828125,0.2521533966064453,7.62939453125e-06,11.780776977539062,0.13747684448780143,0.11533561553789426,0.1043167114257812,0.0465097427368164,0.1998319625854492,7.62939453125e-06,0.485595703125
L4N4 seed 0,L4N4,0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,abs_energy_error,80000,80000,72013,7987,0.0998375,0.183090003550495,0.2584556041364583,0.1044540405273437,0.04537868499755857,0.22043776512145993,0.0,9.1448974609375,0.11914597269002111,0.09957970649814576,0.0906753540039062,0.0405559539794921,0.1732978820800781,0.0,0.4199256896972656
L4N4 seed 7,L4N4,7,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,abs_energy_error,80000,80000,72236,7764,0.09705,0.18390466804380995,0.2669865535328786,0.1053085327148437,0.0456390380859375,0.2218044400215149,0.0,11.410106658935549,0.12062638073451959,0.10115326513074814,0.0913238525390625,0.0409173965454101,0.17517757415771482,0.0,0.426361083984375
L4N4 seed 42,L4N4,42,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,abs_energy_error,80000,80000,72173,7827,0.0978375,0.18831727622949984,0.2736557746567752,0.1072750091552734,0.04639807343482965,0.225137710571289,3.814697265625e-06,12.028327941894531,0.12291517914620669,0.1033844483367788,0.0932216644287109,0.0414390563964843,0.1788711547851562,3.814697265625e-06,0.4347953796386719
L4N4 seed 1776,L4N4,1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,abs_energy_error,80000,80000,72038,7962,0.099525,0.18196098293097457,0.4122309731652796,0.1037492752075195,0.04520261287689205,0.2139453887939453,0.0,89.88688659667969,0.11722325993431973,0.09732929623151468,0.0898857116699218,0.0403978824615478,0.169898509979248,0.0,0.4114942550659179
