run_label,architecture,seed,source_file,metric_column,std_threshold,iteration,n_before,mean,sample_std,threshold,n_removed
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,1,80000,0.1997303498080699,0.2806366299242564,1.041640239580839,1469
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,2,78531,0.17376219427585432,0.18263305138007205,0.7216613484160705,1928
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,3,76603,0.1566693202266227,0.14863429659747693,0.6025722100190535,1441
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,4,75162,0.1470852759145457,0.13270817600561483,0.5452098039313902,1028
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,5,74134,0.14118294641722776,0.12371281409192697,0.5123213886930087,688
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,6,73446,0.1375513924527711,0.11843269870174834,0.49284948855801614,500
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,7,72946,0.13505075464563254,0.11490715941444285,0.4797722328889611,336
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,8,72610,0.13342440778333392,0.11265189325863145,0.4713800875592283,210
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,9,72400,0.13243205693408905,0.11129575519119082,0.4663193225076615,144
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,10,72256,0.13176136288615672,0.11038686000526807,0.46292194290196087,96
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,1,80000,0.20599446008317174,0.2949561794406318,1.090862998405067,1343
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,2,78657,0.18069893048101104,0.18995858989548653,0.7505747001674706,1896
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,3,76761,0.16320913530671374,0.15508993684609237,0.6284789458449909,1462
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,4,75299,0.15305961718815608,0.1381563215089987,0.5675285817151522,1040
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,5,74259,0.14685548697615147,0.12869773866676745,0.5329487029764538,747
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,6,73512,0.14276409440212026,0.1227450012060949,0.510999098020405,490
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,7,73022,0.14022234099322547,0.11915506585376838,0.49768753855453063,326
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,8,72696,0.13859047485047918,0.11689754002978332,0.48928309493982913,211
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,9,72485,0.13755765273060036,0.11548711994622905,0.4840190125692875,125
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,10,72360,0.13695458132730393,0.11467086976696651,0.4809671906282035,89
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,1,80000,0.20470212453629938,0.30088395537312074,1.1073539906556615,1275
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,2,78725,0.18021877447689746,0.19059972055594693,0.7520179361447383,1962
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,3,76763,0.1618663171511861,0.15324112560461017,0.6215896939650166,1536
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,4,75227,0.15125818722253145,0.13531325370027728,0.5571979483233633,1061
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,5,74166,0.1450107053595733,0.12569501798028132,0.5220957593004173,722
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,6,73444,0.14112968636560844,0.12002614232575824,0.5012081133428832,509
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,7,72935,0.13854273523776664,0.11636542901627221,0.4876390222865833,340
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,8,72595,0.13687697158161916,0.11405711068983576,0.47904830365112644,217
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,9,72378,0.1358385331211664,0.11263770085146914,0.4737516356755738,130
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,10,72248,0.13522536124947185,0.11180673210517522,0.4706455575649975,84
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,1,80000,0.265648224465159,10.080732926707148,30.5078470045866,1
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,2,79999,0.2300254985876023,0.3207642591237107,1.1923182759587343,1400
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,3,78599,0.2015775313672075,0.20862519659620726,0.8274531211558293,1882
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,4,76717,0.18245156578079635,0.1704833113544797,0.6939014998442354,1448
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,5,75269,0.17142575935637477,0.15216688758208413,0.6279264221026272,927
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,6,74342,0.16533080039354148,0.1429080311222945,0.594054893760425,635
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,7,73707,0.16149664234768338,0.13739265697240302,0.5736746132648924,431
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,8,73276,0.15901278268324945,0.1339121758803592,0.5607493103243271,302
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,9,72974,0.15732519673115536,0.13158875395842862,0.5520914586064412,201
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,10,72773,0.15622311802466285,0.1300862974342548,0.5464820103274272,136
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,1,80000,0.19947978295959182,0.28335871310257266,1.0495559222673099,1427
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,2,78573,0.17373110953114373,0.18363567110477919,0.7246381228454812,1944
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,3,76629,0.15645001759750152,0.1493385833360615,0.604465767605686,1470
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,4,75159,0.14660144198454192,0.13288226316634058,0.5452482314835637,1017
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,5,74142,0.14073786502436092,0.12391519795974024,0.5124834589035816,724
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,6,73418,0.13692008691277716,0.11837624067359921,0.49204880893357483,477
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,7,72941,0.13453284297011153,0.11500938564787677,0.47956099991374185,300
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,8,72641,0.13308122737620207,0.11300173959725911,0.47208644616797935,199
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,9,72442,0.13213981817175768,0.11171815227688107,0.4672942750024009,119
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,10,72323,0.13158433565732341,0.11096683179358778,0.46448483103808674,72
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,1,80000,0.23565154646359734,1.184069195510051,3.7878591329937508,41
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,2,79959,0.22931213519608418,0.2918563202820014,1.1048810960420883,1687
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,3,78272,0.19992394816954706,0.20183054821479265,0.805415592813925,1875
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,4,76397,0.18184886129440794,0.16707325906243312,0.6830686384817073,1374
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,5,75023,0.17165362355244612,0.15040812830265343,0.6228780084604064,934
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,6,74089,0.16560662748285,0.14130446120422216,0.5895200110955165,615
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,7,73474,0.16192345836134261,0.13601103939394177,0.5699565765431679,409
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,8,73065,0.15958787638076224,0.13274947807659931,0.5578363106105602,284
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,9,72781,0.1580097611832101,0.13057722956369922,0.5497414498743077,171
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,10,72610,0.1570770079048558,0.1293067994705436,0.5449974063164866,135
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,1,80000,0.27910872991609503,0.36418024682675726,1.3716494703963669,1391
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,2,78609,0.24721379954033942,0.23847252988788384,0.9626313892039909,1728
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,3,76881,0.2273560131804822,0.1997891435523155,0.8267234438374287,1241
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,4,75640,0.21649538074095676,0.18231182236794632,0.7634308478447958,851
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,5,74789,0.20990872815796205,0.17249873916071132,0.727404945640096,518
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,6,74271,0.20618137849065563,0.1672024327095543,0.7077886766193185,339
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,7,73932,0.2038363513388371,0.16395083946625705,0.6956888697376082,196
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,8,73736,0.20251185325000454,0.16214056676567282,0.688933553547023,108
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,9,73628,0.20179335632539544,0.16116966025696516,0.685302337096291,50
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,10,73578,0.20146359180168816,0.16072702162721325,0.6836446566833279,25
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,1,80000,0.20622627334078425,0.2853231740266558,1.0621957954207517,1475
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,2,78525,0.17973999725187428,0.18832009193552093,0.7447002730584371,1893
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,3,76632,0.16255649407433242,0.15459249069186318,0.6263339661499219,1449
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,4,75183,0.15253680730076777,0.13794143459102803,0.5663611110738519,1055
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,5,74128,0.1462294838642883,0.12829348903195323,0.531109950960148,703
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,6,73425,0.14237849547911738,0.12268654859875855,0.510438141275393,476
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,7,72949,0.1399100571763116,0.1192059604841777,0.4975279386288447,349
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,8,72600,0.1381609031603769,0.11678520024633873,0.48851650389939305,234
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,9,72366,0.13701405194194452,0.11521625804024749,0.48266282606268696,155
