architecture,seed,run_label,source_file,metric,raw,filtered,n_total,n_shared_hard,n_diagnostic_filtered,n_filtered,filtered_fraction
L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,energy_mae,0.1997303498080699,0.19972404117898868,80000,1,0,1,1.25e-05
L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,energy_mse,0.11864814622822233,0.11864342677603967,80000,1,0,1,1.25e-05
L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,0.582884143878776,0.5827516680571588,80000,1,0,1,1.25e-05
L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,1.2994687470283572,1.2980738547395774,80000,1,0,1,1.25e-05
L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,energy_mae,0.20599446008317174,0.20599208465158828,80000,1,0,1,1.25e-05
L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,energy_mse,0.12943177788582422,0.12943143531530465,80000,1,0,1,1.25e-05
L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,force_mae,0.6041831642617682,0.5956024896968747,80000,1,2,3,3.75e-05
L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,force_rmse,2.8360281282615443,1.346861992017193,80000,1,2,3,3.75e-05
L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,energy_mae,0.20470212453629938,0.20434377151723546,80000,1,0,1,1.25e-05
L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,energy_mse,0.1324329827512162,0.12201418065708411,80000,1,0,1,1.25e-05
L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,force_mae,0.5900155144423305,0.5867417857810487,80000,1,0,1,1.25e-05
L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,force_rmse,1.95694530956505,1.2958311740833266,80000,1,0,1,1.25e-05
