architecture,metric,condition,n_seeds,mean,seed_std
L3N4,energy_mae,raw,6,0.2185344147193148,0.02675055823936151
L3N4,energy_mse,raw,6,17.274767547871196,41.35851628748956
L3N4,force_mae,raw,6,0.8984058108466785,0.7256496071569201
L3N4,force_rmse,raw,6,108.52857091420232,258.38020446849356
L3N5,energy_mae,raw,8,0.22661593663860327,0.030329851457424145
L3N5,energy_mse,raw,8,1.030050338719422,2.4187239199853523
L3N5,force_mae,raw,8,0.6839355570334773,0.11846719396320242
L3N5,force_rmse,raw,8,21.67491894442266,52.36723200494332
L4N3,energy_mae,raw,6,0.2128501290592326,0.004300260795201647
L4N3,energy_mse,raw,6,0.1431928235156458,0.019065605324433157
L4N3,force_mae,raw,6,0.6235365425018274,0.013584154944988101
L4N3,force_rmse,raw,6,1.5450623662930998,0.329427114537136
L4N4,energy_mae,raw,4,0.1843182326886948,0.0027825981979047606
L4N4,energy_mse,raw,4,0.1297035657984028,0.04906359745105906
L4N4,force_mae,raw,4,0.5525675227720267,0.010236779369718575
L4N4,force_rmse,raw,4,1.6148297903309055,0.5869760745946201
L3N4,energy_mae,previous_filter,6,0.21192397458752213,0.014873638820192736
L3N4,energy_mse,previous_filter,6,0.13439786804370357,0.01537972593152641
L3N4,force_mae,previous_filter,6,0.6037892054805079,0.026066161968865027
L3N4,force_rmse,previous_filter,6,1.4689752607097644,0.24457820616880166
L3N5,energy_mae,previous_filter,8,0.22523803696904482,0.031165192530087076
L3N5,energy_mse,previous_filter,8,0.15085653747452354,0.03627916543744543
L3N5,force_mae,previous_filter,8,0.6345147297001273,0.04883039486505543
L3N5,force_rmse,previous_filter,8,1.6433445243682179,0.5521593361457205
L4N3,energy_mae,previous_filter,6,0.2127201286399204,0.004310277942964782
L4N3,energy_mse,previous_filter,6,0.13502580201987202,0.00411079641203628
L4N3,force_mae,previous_filter,6,0.6232867619493202,0.013644107004998319
L4N3,force_rmse,previous_filter,6,1.5203995705337017,0.3345346501292984
L4N4,energy_mae,previous_filter,4,0.18403790129200936,0.003133585562466988
L4N4,energy_mse,previous_filter,4,0.10445497100348665,0.004399197506622831
L4N4,force_mae,previous_filter,4,0.5525675227720267,0.010236779369718575
L4N4,force_rmse,previous_filter,4,1.6148297903309055,0.5869760745946201
L3N4,energy_mae,single_point,6,0.21251920969216556,0.016046623050881885
L3N4,energy_mse,single_point,6,0.35044143818753043,0.5425499912152711
L3N4,force_mae,single_point,6,0.6074353869361794,0.03151183401189427
L3N4,force_rmse,single_point,6,2.6306510403881593,2.556905410277188
L3N5,energy_mae,single_point,8,0.22527175244920136,0.03108588719985827
L3N5,energy_mse,single_point,8,0.15329277016288137,0.0370697813903156
L3N5,force_mae,single_point,8,0.6415013765497278,0.04589166364343762
L3N5,force_rmse,single_point,8,3.8421192794268872,4.498231859983507
L4N3,energy_mae,single_point,6,0.2128389605533959,0.004281569342665815
L4N3,energy_mse,single_point,6,0.14313023190473018,0.019072333211452054
L4N3,force_mae,single_point,6,0.6233907046054882,0.013343749674378649
L4N3,force_rmse,single_point,6,1.53711697862425,0.3334882174190406
L4N4,energy_mae,single_point,4,0.18400088619823113,0.0030664535349766812
L4N4,energy_mse,single_point,4,0.10400357296365428,0.003614857580550992
L4N4,force_mae,single_point,4,0.5508864676986531,0.010582299151107262
L4N4,force_rmse,single_point,4,1.2439111373523088,0.02566706328932394
