architecture,metric,n_seeds,raw_mean,raw_seed_std,filtered_mean,filtered_seed_std,n_predictions_filtered,n_predictions_total,filtered_fraction,raw_mean_plus_minus_std,filtered_mean_plus_minus_std
L3N4,energy_mae,6,0.21853441471931487,0.026750558239361504,0.21192397458752218,0.014873638820192738,2,480000,4.166666666666667e-06,0.219 ± 0.027,0.212 ± 0.015
L3N4,energy_mse,6,17.274767547871196,41.35851628748956,0.1343978680437036,0.015379725931526419,2,480000,4.166666666666667e-06,17.275 ± 41.359,0.134 ± 0.015
L3N4,force_mae,6,0.8984058108466785,0.7256496071569201,0.6037892054805079,0.026066161968865027,4,480000,8.333333333333334e-06,0.898 ± 0.726,0.604 ± 0.026
L3N4,force_rmse,6,108.52857091420232,258.38020446849356,1.4689752607097644,0.24457820616880166,5,480000,1.0416666666666666e-05,108.529 ± 258.380,1.469 ± 0.245
L3N5,energy_mae,8,0.2266159366386033,0.03032985145742415,0.22523803696904485,0.03116519253008709,3,640000,4.6875e-06,0.227 ± 0.030,0.225 ± 0.031
L3N5,energy_mse,8,1.030050338719422,2.4187239199853523,0.15085653747452357,0.03627916543744542,3,640000,4.6875e-06,1.030 ± 2.419,0.151 ± 0.036
L3N5,force_mae,8,0.6839355570334773,0.11846719396320238,0.6345147297001273,0.04883039486505543,6,640000,9.375e-06,0.684 ± 0.118,0.635 ± 0.049
L3N5,force_rmse,8,21.67491894442266,52.36723200494332,1.6433445243682177,0.5521593361457208,6,640000,9.375e-06,21.675 ± 52.367,1.643 ± 0.552
L4N3,energy_mae,6,0.21285012905923262,0.004300260795201643,0.21272012863992043,0.004310277942964781,1,480000,2.0833333333333334e-06,0.213 ± 0.004,0.213 ± 0.004
L4N3,energy_mse,6,0.14319282351564586,0.019065605324433153,0.13502580201987208,0.004110796412036274,1,480000,2.0833333333333334e-06,0.143 ± 0.019,0.135 ± 0.004
L4N3,force_mae,6,0.6235365425018274,0.013584154944988101,0.6232867619493202,0.013644107004998319,1,480000,2.0833333333333334e-06,0.624 ± 0.014,0.623 ± 0.014
L4N3,force_rmse,6,1.5450623662930998,0.32942711453713613,1.5203995705337017,0.3345346501292984,2,480000,4.166666666666667e-06,1.545 ± 0.329,1.520 ± 0.335
L4N4,energy_mae,4,0.18431823268869485,0.0027825981979047484,0.18403790129200942,0.0031335855624669657,1,320000,3.125e-06,0.184 ± 0.003,0.184 ± 0.003
L4N4,energy_mse,4,0.12970356579840286,0.04906359745105905,0.1044549710034867,0.0043991975066228215,1,320000,3.125e-06,0.130 ± 0.049,0.104 ± 0.004
L4N4,force_mae,4,0.5525675227720267,0.010236779369718575,0.5525675227720267,0.010236779369718575,0,320000,0.0,0.553 ± 0.010,0.553 ± 0.010
L4N4,force_rmse,4,1.6148297903309055,0.5869760745946201,1.6148297903309055,0.5869760745946201,0,320000,0.0,1.615 ± 0.587,1.615 ± 0.587
