condition,subset,architecture,seed,run_file,n_molecules,energy_mae,energy_rmse,force_mae,force_rmse
raw,all,L3N4,0,l3_n4_d1000000_seed0_task0_per_point.npz,80000,0.1997303498080699,0.34445340211445485,0.5828841438787761,1.2994687470283575
raw,all,L3N4,101,l3_n4_d1000000_seed101_task4_per_point.npz,80000,0.19947978295959182,0.3465304322115855,0.5807663608315538,1.4576801015944572
raw,all,L3N4,1,l3_n4_d1000000_seed1_task1_per_point.npz,80000,0.20599446008317174,0.35976628230814545,0.6041831642617683,2.8360281282615434
raw,all,L3N4,202,l3_n4_d1000000_seed202_task5_per_point.npz,80000,0.23565154646359734,1.2072837221872321,0.6539855536744488,7.698826425968148
raw,all,L3N4,42,l3_n4_d1000000_seed42_task3_per_point.npz,80000,0.265648224465159,10.08416952723698,2.3786001279911932,635.9224767727965
raw,all,L3N4,7,l3_n4_d1000000_seed7_task2_per_point.npz,80000,0.20470212453629938,0.36391342755003725,0.5900155144423305,1.95694530956505
raw,all,L3N5,0,l3_n5_d1000000_seed0_task3_per_point.npz,80000,0.27910872991609503,0.45883251568902705,0.7222488466519684,1.5787325608341107
raw,all,L3N5,1776,l3_n5_d1000000_seed1776_task1_per_point.npz,80000,0.21555212002652696,0.4246558822288594,0.6531529181974322,11.829932355929051
raw,all,L3N5,1,l3_n5_d1000000_seed1_task4_per_point.npz,80000,0.20622627334078425,0.3520476840376211,0.6048977085948131,1.2933777045529307
raw,all,L3N5,2,l3_n5_d1000000_seed2_task5_per_point.npz,80000,0.2711846569232875,0.45046770333311215,0.7000906752509899,2.198315781436598
raw,all,L3N5,3,l3_n5_d1000000_seed3_task6_per_point.npz,80000,0.21322648383491905,2.6485781801607344,0.9543238453082752,150.9771921369102
raw,all,L3N5,42,l3_n5_d1000000_seed42_task0_per_point.npz,80000,0.2081716774016153,0.3565281300139793,0.6043628579591265,1.3255120612405198
raw,all,L3N5,4,l3_n5_d1000000_seed4_task7_per_point.npz,80000,0.2038352158157795,0.35707750322913323,0.5974813308890118,1.3610072700351439
raw,all,L3N5,7,l3_n5_d1000000_seed7_task2_per_point.npz,80000,0.21562233584981877,0.5030915057727154,0.6349262734162017,2.8352816844427586
raw,high_force,L3N4,0,l3_n4_d1000000_seed0_task0_per_point.npz,12000,0.39295713083725425,0.6340466713623387,1.2550714828889455,2.584316054412506
raw,high_force,L3N4,101,l3_n4_d1000000_seed101_task4_per_point.npz,12000,0.38862615303633113,0.6348833372821884,1.2310290220945557,2.520135034004299
raw,high_force,L3N4,1,l3_n4_d1000000_seed1_task1_per_point.npz,12000,0.39954074114561083,0.6433489017816254,1.2631195572476006,2.543242707850919
raw,high_force,L3N4,202,l3_n4_d1000000_seed202_task5_per_point.npz,12000,0.4803361012491708,3.036678660185723,1.4770014075875904,19.73908659123939
raw,high_force,L3N4,42,l3_n4_d1000000_seed42_task3_per_point.npz,12000,0.45810187426306465,0.7417585775552221,1.3737568118440866,2.7900752268659623
raw,high_force,L3N4,7,l3_n4_d1000000_seed7_task2_per_point.npz,12000,0.4000723860282451,0.6440749677076462,1.2581838252090953,2.596774136510607
raw,high_force,L3N5,0,l3_n5_d1000000_seed0_task3_per_point.npz,12000,0.5227302262143543,0.8425994126711438,1.5482556592429575,3.172209913197685
raw,high_force,L3N5,1776,l3_n5_d1000000_seed1776_task1_per_point.npz,12000,0.42535073155971864,0.7799719134152592,1.4990535195412114,29.202189129444754
raw,high_force,L3N5,1,l3_n5_d1000000_seed1_task4_per_point.npz,12000,0.4050575595910971,0.6467457869823375,1.2864088121368913,2.555345727692707
raw,high_force,L3N5,2,l3_n5_d1000000_seed2_task5_per_point.npz,12000,0.5157063943392908,0.8104781884002064,1.4702641431805006,3.0740181625224663
raw,high_force,L3N5,3,l3_n5_d1000000_seed3_task6_per_point.npz,12000,0.3986936640046382,0.6429475992242751,1.3053630880753897,6.103995801853406
raw,high_force,L3N5,42,l3_n5_d1000000_seed42_task0_per_point.npz,12000,0.40906784307366856,0.6567873154158992,1.2898141837879498,2.5850123753547285
raw,high_force,L3N5,4,l3_n5_d1000000_seed4_task7_per_point.npz,12000,0.4021937045312176,0.663294213219318,1.290138441294222,2.714103561671626
raw,high_force,L3N5,7,l3_n5_d1000000_seed7_task2_per_point.npz,12000,0.42589784049149604,0.683396907311396,1.3541441148260402,2.753164439193802
raw,high_energy,L3N4,0,l3_n4_d1000000_seed0_task0_per_point.npz,12000,0.229845783551534,0.4814575044254635,0.7226365452822867,2.089182091987782
raw,high_energy,L3N4,101,l3_n4_d1000000_seed101_task4_per_point.npz,12000,0.22980111821492513,0.4823256302298511,0.7268738520307052,2.7307483345066306
raw,high_energy,L3N4,1,l3_n4_d1000000_seed1_task1_per_point.npz,12000,0.23691259002685547,0.5136223099994096,0.7775241756121344,6.602797070889488
raw,high_energy,L3N4,202,l3_n4_d1000000_seed202_task5_per_point.npz,12000,0.29451505629221597,2.9990855782972017,0.9041663735644944,19.67675196275699
raw,high_energy,L3N4,42,l3_n4_d1000000_seed42_task3_per_point.npz,12000,0.5083409722646077,26.023546281478538,12.394342543182212,1641.9424108118328
raw,high_energy,L3N4,7,l3_n4_d1000000_seed7_task2_per_point.npz,12000,0.23837623850504558,0.5479856162931013,0.7491760444900849,4.322952537058985
raw,high_energy,L3N5,0,l3_n5_d1000000_seed0_task3_per_point.npz,12000,0.3095197760264079,0.6102597675856468,0.894187546726073,2.5191895648682836
raw,high_energy,L3N5,1776,l3_n5_d1000000_seed1776_task1_per_point.npz,12000,0.250054630279541,0.6332497131194107,0.9421398127871876,29.156244679532517
raw,high_energy,L3N5,1,l3_n5_d1000000_seed1_task4_per_point.npz,12000,0.24077812957763672,0.4829030012064071,0.7396565590576631,2.005357006685815
raw,high_energy,L3N5,2,l3_n5_d1000000_seed2_task5_per_point.npz,12000,0.3052477788925171,0.6269877158355905,0.8719640975287339,4.526299736638761
raw,high_energy,L3N5,3,l3_n5_d1000000_seed3_task6_per_point.npz,12000,0.2921848678588867,6.794842959581208,2.9135678254869406,388.90643130545953
raw,high_energy,L3N5,42,l3_n5_d1000000_seed42_task0_per_point.npz,12000,0.23899267864227294,0.49061400228279073,0.7401471956076825,2.046980739457673
raw,high_energy,L3N5,4,l3_n5_d1000000_seed4_task7_per_point.npz,12000,0.23121737766265868,0.4886767070514875,0.7385294262979386,2.153282648036496
raw,high_energy,L3N5,7,l3_n5_d1000000_seed7_task2_per_point.npz,12000,0.2559131520589193,1.0221325938610815,0.8251840597206003,6.776765377796316
raw,planar,L3N4,0,l3_n4_d1000000_seed0_task0_per_point.npz,12000,0.20694010868575424,0.35870086046062516,0.5980089835087096,1.3650517441541874
raw,planar,L3N4,101,l3_n4_d1000000_seed101_task4_per_point.npz,12000,0.2073258620998822,0.37944176763191384,0.6115535885455449,2.311514118599292
raw,planar,L3N4,1,l3_n4_d1000000_seed1_task1_per_point.npz,12000,0.2188746388644601,0.42814951464269985,0.6640579705469517,6.42989364396077
raw,planar,L3N4,202,l3_n4_d1000000_seed202_task5_per_point.npz,12000,0.23962444845121353,0.4069150901146784,0.658273450323691,1.4712694841446883
raw,planar,L3N4,42,l3_n4_d1000000_seed42_task3_per_point.npz,12000,0.47442004657071085,26.020703274874663,12.268748943198016,1641.9415534357315
raw,planar,L3N4,7,l3_n4_d1000000_seed7_task2_per_point.npz,12000,0.21518020402407273,0.4586987806689928,0.6268103729777297,4.029982776519964
raw,planar,L3N5,0,l3_n5_d1000000_seed0_task3_per_point.npz,12000,0.28771861498461415,0.52704717272856,0.7548107666251612,1.944234594288083
raw,planar,L3N5,1776,l3_n5_d1000000_seed1776_task1_per_point.npz,12000,0.22564465101342648,0.39820730709585933,0.6423154053178616,1.4632414916657235
raw,planar,L3N5,1,l3_n5_d1000000_seed1_task4_per_point.npz,12000,0.21458657170894246,0.3859877175711502,0.6268151470017516,1.3853542230687141
raw,planar,L3N5,2,l3_n5_d1000000_seed2_task5_per_point.npz,12000,0.28341628950058173,0.5066773754161745,0.7367414053732374,4.049861945500744
raw,planar,L3N5,3,l3_n5_d1000000_seed3_task6_per_point.npz,12000,0.27276245106601466,6.788923007977296,2.8055955663461236,388.9032691129372
raw,planar,L3N5,42,l3_n5_d1000000_seed42_task0_per_point.npz,12000,0.21534664959615718,0.3845431621122246,0.6238473947267772,1.4003133380528112
raw,planar,L3N5,4,l3_n5_d1000000_seed4_task7_per_point.npz,12000,0.21741304927226157,0.40701534992754823,0.6387683237476585,1.7148654442624112
raw,planar,L3N5,7,l3_n5_d1000000_seed7_task2_per_point.npz,12000,0.23273796915480247,0.9653514433392718,0.6979124776126817,6.573696918555578
single_point_removed,all,L3N4,0,l3_n4_d1000000_seed0_task0_per_point.npz,79999,0.19972404117898868,0.3444465514068034,0.5827516680571588,1.2980738547395774
single_point_removed,all,L3N4,101,l3_n4_d1000000_seed101_task4_per_point.npz,79999,0.19937756011790556,0.3452645522215129,0.5789142530506817,1.2721776337777988
single_point_removed,all,L3N4,1,l3_n4_d1000000_seed1_task1_per_point.npz,79999,0.20599208465158828,0.35976580620634957,0.6041739060911369,2.836038616465406
single_point_removed,all,L3N4,202,l3_n4_d1000000_seed202_task5_per_point.npz,79999,0.2356523020996734,1.207291108872183,0.6539698249368936,7.698869806895957
