subset,metric,direction,rank,source_index,target_energy,max_target_atomic_force,h_planarity_ratio,in_high_force,in_high_energy,in_planar,l3n4_median_error,l3n5_median_error,l3n5_minus_l3n4
all,energy_abs_error,largest_l3n5_improvement,1,6266598,1055.802978515625,4476.731168443207,0.05688926283028245,True,True,False,8.67425537109375,3.349853515625,-5.32440185546875
all,energy_abs_error,largest_l3n5_improvement,2,5298929,105.52440643310547,933.7216327752874,0.1535938680163787,True,True,False,5.142494201660156,1.504302978515625,-3.6381912231445312
all,energy_abs_error,largest_l3n5_improvement,3,5274332,163.07957458496094,1731.691037888597,0.05944082543103967,True,True,False,2.7522430419921875,0.4870147705078125,-2.265228271484375
all,energy_abs_error,largest_l3n5_improvement,4,5619249,587.6139526367188,2381.2842903827395,0.049895034035827776,True,True,False,3.19708251953125,1.05853271484375,-2.1385498046875
all,energy_abs_error,largest_l3n5_improvement,5,3302699,225.8095703125,1979.2682273044718,0.05980392137340777,True,True,False,3.7926406860351562,1.7232894897460938,-2.0693511962890625
all,energy_abs_error,largest_l3n5_improvement,6,4331822,447.4918212890625,3339.113055252957,0.30650571143256017,True,True,False,2.4985198974609375,0.8402557373046875,-1.65826416015625
all,energy_abs_error,largest_l3n5_improvement,7,3520825,16.177047729492188,509.33144328663184,0.07647780344969134,True,False,False,5.265255928039551,3.6814846992492676,-1.5837712287902832
all,energy_abs_error,largest_l3n5_improvement,8,7081698,94.93647766113281,1424.8634535228427,0.07052923645734732,True,True,False,2.6567420959472656,1.0928535461425781,-1.5638885498046875
all,energy_abs_error,largest_l3n5_improvement,9,3101778,90.6782455444336,669.2616484073694,0.08999974491881882,True,True,False,2.1495933532714844,0.6621894836425781,-1.4874038696289062
all,energy_abs_error,largest_l3n5_improvement,10,5135411,-28.961380004882812,683.2154150202966,0.062442774320479774,True,False,False,2.6906747817993164,1.2095928192138672,-1.4810819625854492
all,energy_abs_error,largest_l3n5_improvement,11,6382778,101.07012176513672,2051.187886879723,0.10348348713962376,True,True,False,2.7676239013671875,1.3711013793945312,-1.3965225219726562
all,energy_abs_error,largest_l3n5_improvement,12,4465432,247.4599609375,1858.8143939309064,0.1718364518683342,True,True,False,3.5775299072265625,2.2030868530273438,-1.3744430541992188
all,energy_abs_error,largest_l3n5_improvement,13,6360591,-52.64358901977539,251.14580256404994,0.08493750686568405,True,False,False,1.6442756652832031,0.32733154296875,-1.3169441223144531
all,energy_abs_error,largest_l3n5_improvement,14,6766812,216.68655395507812,2030.4727448972603,0.3078481058664589,True,True,False,3.0057449340820312,1.6983871459960938,-1.3073577880859375
all,energy_abs_error,largest_l3n5_improvement,15,7700291,-84.5953598022461,161.87158998919742,0.03838918469786668,False,False,True,2.0195465087890625,0.7217483520507812,-1.2977981567382812
all,energy_abs_error,largest_l3n5_improvement,16,3403860,-67.15992736816406,247.90058736495496,0.09942695734349492,True,False,False,2.1837692260742188,0.8949241638183594,-1.2888450622558594
all,energy_abs_error,largest_l3n5_improvement,17,4707565,936.1536865234375,3457.4455604779064,0.07308820661927164,True,True,False,2.692626953125,1.42266845703125,-1.26995849609375
all,energy_abs_error,largest_l3n5_improvement,18,3384474,-69.48951721191406,257.2468857841792,0.020261487207490124,True,False,True,1.7655105590820312,0.517974853515625,-1.2475357055664062
all,energy_abs_error,largest_l3n5_improvement,19,4757929,530.931884765625,3771.9425286777637,0.5282583784180896,True,True,False,2.903106689453125,1.66851806640625,-1.234588623046875
all,energy_abs_error,largest_l3n5_improvement,20,5715314,306.1038818359375,2017.2581969033413,0.1074124167844492,True,True,False,1.56781005859375,0.33697509765625,-1.2308349609375
all,energy_abs_error,largest_l3n5_improvement,21,6727989,610.2911376953125,3646.258705987283,0.03954161467205755,True,True,True,1.78759765625,0.573760986328125,-1.213836669921875
all,energy_abs_error,largest_l3n5_improvement,22,4186645,464.4876403808594,3446.474183263231,0.06987394909769654,True,True,False,1.7291259765625,0.5171051025390625,-1.2120208740234375
all,energy_abs_error,largest_l3n5_improvement,23,5446117,363.9571533203125,1876.2465422653004,0.09361467507756294,True,True,False,2.675079345703125,1.4732818603515625,-1.2017974853515625
all,energy_abs_error,largest_l3n5_improvement,24,4778168,102.83438110351562,1095.6778672505068,0.11214948696409303,True,True,False,1.5999755859375,0.42877197265625,-1.17120361328125
all,energy_abs_error,largest_l3n5_improvement,25,4340376,233.55908203125,1836.3285751892,0.21215045829580978,True,True,False,1.744293212890625,0.58050537109375,-1.163787841796875
