subset,tail_fraction,descriptor,selection,cutoff,metric,n_molecules,l3n5_win_fraction,median_l3n5_minus_l3n4,mean_l3n5_minus_l3n4
high_force,0.01,max_target_atomic_force,>=,2428.628749959412,energy_abs_error,800,0.48125,0.00724029541015625,0.01090764045715332
high_force,0.01,max_target_atomic_force,>=,2428.628749959412,force_rmse,800,0.38875,0.09098758239933535,0.12882019222682087
high_force,0.025,max_target_atomic_force,>=,1436.052310745798,energy_abs_error,2000,0.4625,0.01934051513671875,0.014172301769256592
high_force,0.025,max_target_atomic_force,>=,1436.052310745798,force_rmse,2000,0.3925,0.08021038635852551,0.10018902616891774
high_force,0.05,max_target_atomic_force,>=,747.9503360779161,energy_abs_error,4000,0.465,0.0146636962890625,0.015815369388554244
high_force,0.05,max_target_atomic_force,>=,747.9503360779161,force_rmse,4000,0.39975,0.06220646633824978,0.07934401924199483
high_force,0.1,max_target_atomic_force,>=,335.9692522182933,energy_abs_error,8000,0.465625,0.012465476989746094,0.015671555004781113
high_force,0.1,max_target_atomic_force,>=,335.9692522182933,force_rmse,8000,0.3965,0.053654040916404716,0.07637026109903342
high_force,0.15,max_target_atomic_force,>=,179.03556935281702,energy_abs_error,12000,0.46675,0.010562896728515625,0.013428657278884202
high_force,0.15,max_target_atomic_force,>=,179.03556935281702,force_rmse,12000,0.39766666666666667,0.045304185620927084,0.06735759051046739
high_force,0.25,max_target_atomic_force,>=,112.8431138283058,energy_abs_error,20000,0.46815,0.008309364318847656,0.011163830418232828
high_force,0.25,max_target_atomic_force,>=,112.8431138283058,force_rmse,20000,0.3936,0.035889873635248204,0.05597904702028755
high_energy,0.01,target_energy,>=,318.3966259765643,energy_abs_error,800,0.48625,0.0060882568359375,0.009333171844482423
high_energy,0.01,target_energy,>=,318.3966259765643,force_rmse,800,0.39375,0.08982680715332292,0.11913967185589971
high_energy,0.025,target_energy,>=,149.22960815429693,energy_abs_error,2000,0.469,0.01549530029296875,0.014221424102783204
high_energy,0.025,target_energy,>=,149.22960815429693,force_rmse,2000,0.3975,0.07526684892051544,0.09307887898276547
high_energy,0.05,target_energy,>=,93.71299591064448,energy_abs_error,4000,0.462,0.008146286010742188,0.01107210922241211
high_energy,0.05,target_energy,>=,93.71299591064448,force_rmse,4000,0.3875,0.03129239851032983,0.06675132031692911
high_energy,0.1,target_energy,>=,69.55289459228516,energy_abs_error,8000,0.46475,0.0051822662353515625,0.007360584735870361
high_energy,0.1,target_energy,>=,69.55289459228516,force_rmse,8000,0.392625,0.01861205444093668,0.04395722353101348
high_energy,0.15,target_energy,>=,53.86430358886719,energy_abs_error,12000,0.4696666666666667,0.004245758056640625,0.006291855653127035
high_energy,0.15,target_energy,>=,53.86430358886719,force_rmse,12000,0.394,0.016164278653214514,0.037009020460323824
high_energy,0.25,target_energy,>=,31.896403312683105,energy_abs_error,20000,0.46735,0.004367828369140625,0.0067586280822753905
high_energy,0.25,target_energy,>=,31.896403312683105,force_rmse,20000,0.4,0.015039141840291093,0.03143716675967157
planar,0.01,h_planarity_ratio,<=,0.002891088922688759,energy_abs_error,800,0.4725,0.004765987396240234,0.007096029035747051
planar,0.01,h_planarity_ratio,<=,0.002891088922688759,force_rmse,800,0.36375,0.02288272216070722,0.04656285953667293
planar,0.025,h_planarity_ratio,<=,0.0075996787988494964,energy_abs_error,2000,0.466,0.004993438720703125,0.009678856944665313
planar,0.025,h_planarity_ratio,<=,0.0075996787988494964,force_rmse,2000,0.3845,0.020988813988506466,0.041499881264165
planar,0.05,h_planarity_ratio,<=,0.01529852755005071,energy_abs_error,4000,0.45825,0.0065784454345703125,0.010819787268526853
planar,0.05,h_planarity_ratio,<=,0.01529852755005071,force_rmse,4000,0.3855,0.020796912171435006,0.03943953643487505
planar,0.1,h_planarity_ratio,<=,0.03064435885694368,energy_abs_error,8000,0.45675,0.007073879241943359,0.010186919606756419
planar,0.1,h_planarity_ratio,<=,0.03064435885694368,force_rmse,8000,0.384625,0.02124204304844704,0.04066806134646657
planar,0.15,h_planarity_ratio,<=,0.04604434575887187,energy_abs_error,12000,0.461,0.006333351135253906,0.008989812078109631
planar,0.15,h_planarity_ratio,<=,0.04604434575887187,force_rmse,12000,0.3864166666666667,0.021140381527746915,0.03883641843914493
planar,0.25,h_planarity_ratio,<=,0.0775275022053808,energy_abs_error,20000,0.46185,0.006028175354003906,0.008508825228828936
planar,0.25,h_planarity_ratio,<=,0.0775275022053808,force_rmse,20000,0.3847,0.02140181737768483,0.03838137333017742
