run,sweep_task_id,seed,hiphop_l_max,hiphop_n_max,data_size,total_params,run_dir,checkpoint_path,checkpoint_kind_requested,checkpoint_file_used,checkpoint_target_epoch,eval_batch_size,test_indices_path,test_set_size,per_point_csv,per_point_npz,checkpoint_epoch_count,best_valid_T-RMSE,best_valid_T-MAE,best_valid_F-RMSE,best_valid_F-MAE,test_T-RMSE,test_T-MAE,test_T-RSQ,test_F-RMSE,test_F-MAE,test_F-RSQ,test_Error Loss,test_L2,test_Loss,status
task 0: l=4 n=3 d=1000000,0,42,4,3,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed42-b256_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed42-b256_fresh/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.npz,6131,0.3651890754699707,0.21289387345314026,1.3123795986175537,0.6237285137176514,0.3669760035538567,0.21443938535493218,,2.202281199338929,0.6298982761745554,,,,,ok
task 1: l=4 n=3 d=1000000,1,1776,4,3,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed1776-b256_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed1776-b256_fresh/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.npz,6433,0.35164111852645874,0.20887479186058044,1.2880758047103882,0.611685037612915,0.36462594241399887,0.20889746330198833,,1.4906635046490413,0.6139854113521747,,,,,ok
task 2: l=4 n=3 d=1000000,2,7,4,3,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed7-b256_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed7-b256_fresh/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.npz,7722,0.3721279501914978,0.20748698711395264,1.4322388172149658,0.6746786832809448,0.3614589973520367,0.20703997271741972,,1.3104834935712768,0.6039136420403755,,,,,ok
task 3: l=4 n=3 d=1000000,3,101,4,3,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed101-b256_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed101-b256_fresh/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.npz,4786,0.3829553425312042,0.22002620995044708,1.3889929056167603,0.6429802775382996,0.37655448884574044,0.2188547617257631,,1.4239952908580757,0.642745211704508,,,,,ok
task 4: l=4 n=3 d=1000000,4,202,4,3,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed202-b256_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed202-b256_fresh/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.npz,5157,0.3651496171951294,0.21316714584827423,1.3162336349487305,0.6225792765617371,0.4257854084237511,0.21289867895157077,,1.482644403779045,0.6214379529677565,,,,,ok
task 5: l=4 n=3 d=1000000,5,303,4,3,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed303-b256_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n3_d1000000_seed303-b256_fresh/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.npz,4204,0.36316055059432983,0.21531227231025696,1.336492657661438,0.6303316950798035,0.3712066434817958,0.21497051230372163,,1.360306305562232,0.6292387607715947,,,,,ok
task 6: l=4 n=4 d=1000000,6,0,4,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n4_d1000000_seed0-lightning_ddp_v100_batchfix,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n4_d1000000_seed0-lightning_ddp_v100_batchfix/lightning_checkpoints/best-epoch=6547-valid_T-MAE=0.18276913.ckpt,best,best-epoch=6547-valid_T-MAE=0.18276913.ckpt,,2048,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.npz,6547,0.31545042991638184,0.18276913464069366,1.1829590797424316,0.5458180904388428,0.3167339794187238,0.183090003550495,,1.2228122493840692,0.5445171628077452,,,,,ok
task 7: l=4 n=4 d=1000000,7,7,4,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n4_d1000000_seed7-lightning_ddp_v100,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n4_d1000000_seed7-lightning_ddp_v100/lightning_checkpoints/best-epoch=6795-valid_T-MAE=0.18444210.ckpt,best,best-epoch=6795-valid_T-MAE=0.18444210.ckpt,,2048,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.npz,6796,0.31704315543174744,0.18444210290908813,1.1592681407928467,0.5513538122177124,0.3241941635392616,0.18390466804380995,,1.2727213624269227,0.5533003617275282,,,,,ok
task 8: l=4 n=4 d=1000000,8,42,4,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n4_d1000000_seed42-lightning_ddp_v100_batchfix,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n4_d1000000_seed42-lightning_ddp_v100_batchfix/lightning_checkpoints/best-epoch=6016-valid_T-MAE=0.18916458.ckpt,best,best-epoch=6016-valid_T-MAE=0.18916458.ckpt,,2048,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.npz,6016,0.36305102705955505,0.18916457891464233,1.3888930082321167,0.573470413684845,0.3321896196992915,0.18831727622949984,,1.4851854471900643,0.5667680229394589,,,,,ok
task 9: l=4 n=4 d=1000000,9,1776,4,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n4_d1000000_seed1776-lightning_ddp_v100_batchfix,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l4_n4_d1000000_seed1776-lightning_ddp_v100_batchfix/lightning_checkpoints/best-epoch=5629-valid_T-MAE=0.18097089.ckpt,best,best-epoch=5629-valid_T-MAE=0.18097089.ckpt,,2048,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.npz,5629,0.31170418858528137,0.18097089231014252,1.2238339185714722,0.5468531847000122,0.45060187567997256,0.18196098293097457,,2.478600102322564,0.5456845436133745,,,,,ok
